benchmark,workload,config,repeat,mode,elapsed_sec,interval_sec,interval_ops,interval_ops_per_sec,cumulative_ops,cumulative_ops_per_sec,final,log
xindex,a,hotset-use-local,1,local,60.0008,60.0008,1001848593,1.66973e+07,1001848593,1.66973e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-01-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,120.001,60.0001,777704044,1.29617e+07,1779552637,1.48295e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-01-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,180.001,60.0004,777660644,1.29609e+07,2557213281,1.42066e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-01-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,240.001,60.0001,778070562,1.29678e+07,3335283843,1.38969e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-01-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,300.001,59.9998,777471721,1.29579e+07,4112755564,1.37091e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-01-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,360.001,60.0001,777261267,1.29543e+07,4890016831,1.35833e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-01-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,420.001,60,778169048,1.29695e+07,5668185879,1.34956e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-01-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,480.001,60.0002,777358564,1.29559e+07,6445544443,1.34282e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-01-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,540.001,59.9997,777743485,1.29625e+07,7223287928,1.33764e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-01-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,600.001,59.9998,777889917,1.29649e+07,8001177845,1.33353e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-01-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,660.001,60.0002,777900169,1.2965e+07,8779078014,1.33016e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-01-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,720.001,59.9999,777772504,1.29629e+07,9556850518,1.32734e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-01-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,780.001,60.0002,777829604,1.29638e+07,10334680122,1.32496e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-01-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,840.001,59.9998,777920819,1.29654e+07,11112600941,1.32293e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-01-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
xindex,a,hotset-use-local,1,local,900.064,60.0634,777584674,1.29461e+07,11890185615,1.32104e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-01-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
