benchmark,workload,config,repeat,mode,elapsed_sec,interval_sec,interval_ops,interval_ops_per_sec,cumulative_ops,cumulative_ops_per_sec,final,log
xindex,a,native,1,native,60.0041,60.0041,997145964,1.6618e+07,997145964,1.6618e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-02-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,120.001,59.997,716395355,1.19405e+07,1713541319,1.42794e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-02-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,180.001,60.0003,716075446,1.19345e+07,2429616765,1.34978e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-02-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,240.001,60,716007850,1.19335e+07,3145624615,1.31067e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-02-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,300.001,60.0001,716535973,1.19422e+07,3862160588,1.28738e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-02-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,360.001,59.9999,716594523,1.19433e+07,4578755111,1.27187e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-02-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,420.001,59.9996,715878087,1.19314e+07,5294633198,1.26062e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-02-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,480.001,60.0005,716299941,1.19382e+07,6010933139,1.25227e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-02-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,540.001,59.9995,716138934,1.19358e+07,6727072073,1.24575e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-02-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,600.001,60.0002,717401873,1.19567e+07,7444473946,1.24074e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-02-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,660.001,59.9999,716123744,1.19354e+07,8160597690,1.23645e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-02-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,720.003,60.0014,715733686,1.19286e+07,8876331376,1.23282e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-02-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,780.001,59.9986,716375296,1.19399e+07,9592706672,1.22983e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-02-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,840.002,60.0005,716789760,1.19464e+07,10309496432,1.22732e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-02-native-native/logs/xindex_a_native_r1.log
xindex,a,native,1,native,900.069,60.0679,716301750,1.19249e+07,11025798182,1.22499e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-02-native-native/logs/xindex_a_native_r1.log
