benchmark,workload,config,repeat,mode,elapsed_sec,interval_sec,interval_ops,interval_ops_per_sec,cumulative_ops,cumulative_ops_per_sec,final,log
xindex,a,hotset-use-target,1,remote,60.0008,60.0008,1042933892,1.7382e+07,1042933892,1.7382e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-03-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,120.001,60.0005,873311371,1.45551e+07,1916245263,1.59685e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-03-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,180.001,60,871841590,1.45307e+07,2788086853,1.54893e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-03-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,240.002,60.0005,871745430,1.4529e+07,3659832283,1.52492e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-03-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,300.004,60.002,876016817,1.45998e+07,4535849100,1.51193e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-03-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,360.001,59.9973,876824753,1.46144e+07,5412673853,1.50352e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-03-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,420.001,59.9999,873572802,1.45596e+07,6286246655,1.49672e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-03-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,480.001,60.0002,871818257,1.45303e+07,7158064912,1.49126e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-03-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,540.001,59.9995,872720561,1.45455e+07,8030785473,1.48718e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-03-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,600.001,60.0002,871845223,1.45307e+07,8902630696,1.48377e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-03-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,660.003,60.0024,872762454,1.45455e+07,9775393150,1.48111e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-03-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,720.001,59.9979,870775820,1.45134e+07,10646168970,1.47863e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-03-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,780.001,59.9998,871833213,1.45306e+07,11518002183,1.47667e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-03-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,840.001,59.9999,871819441,1.45303e+07,12389821624,1.47498e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-03-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,900.063,60.0625,871791884,1.45148e+07,13261613508,1.47341e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-06/row-03-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
