site_id,kind,function,file,line,callee,size_expr,estimated_bytes,score,role,group_id,selected,reasons,member_affinity,member_access_kind,member_access_depth
1,cxx-delete-array,~IndexConfig,/usr/include/c++/11/bits/unique_ptr.h,120,_ZdaPvSt11align_val_t,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
2,cxx-new-array,rcu_init,/usr/include/c++/11/bits/unique_ptr.h,968,_ZnamSt11align_val_t,%11,4096,5,rejected,0,no,"escapes-store;sync-atomic-or-volatile-store-same-function;dynamic-size-excluded;hotset-rejected:expansion-none",0,,-1
3,cxx-delete,~(unnamed struct at /home/shin/arbiter/benchmark/xindex/XIndex-H/ycsb_bench.cpp:76:1),/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
4,cxx-delete,~vector,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
5,cxx-delete,~vector,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
6,cxx-delete,main,/home/shin/arbiter/benchmark/xindex/XIndex-H/ycsb_bench.cpp,185,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
7,cxx-delete,parse_args,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
8,cxx-new,load_ycsb_data,/usr/include/c++/11/ext/new_allocator.h,127,_Znwm,%143,4096,3,rejected,0,no,"escapes-store;dynamic-size-excluded;no-sync-mutable;hotset-rejected:expansion-none",0,,-1
9,cxx-delete,load_ycsb_data,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
10,cxx-new,load_ycsb_transaction,/usr/include/c++/11/ext/new_allocator.h,127,_Znwm,%202,4096,3,rejected,0,no,"escapes-store;dynamic-size-excluded;no-sync-mutable;hotset-rejected:expansion-none",0,,-1
11,cxx-delete,load_ycsb_transaction,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
12,cxx-new,load_ycsb_transaction,/usr/include/c++/11/ext/new_allocator.h,127,_Znwm,%333,4096,3,rejected,0,no,"escapes-store;dynamic-size-excluded;no-sync-mutable;hotset-rejected:expansion-none",0,,-1
13,cxx-delete,load_ycsb_transaction,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
14,cxx-new,load_ycsb_transaction,/usr/include/c++/11/ext/new_allocator.h,127,_Znwm,%464,4096,3,rejected,0,no,"escapes-store;dynamic-size-excluded;no-sync-mutable;hotset-rejected:expansion-none",0,,-1
15,cxx-delete,load_ycsb_transaction,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
16,cxx-new,load_ycsb_transaction,/usr/include/c++/11/ext/new_allocator.h,127,_Znwm,%595,4096,3,rejected,0,no,"escapes-store;dynamic-size-excluded;no-sync-mutable;hotset-rejected:expansion-none",0,,-1
17,cxx-delete,load_ycsb_transaction,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
18,cxx-new,prepare_xindex,/usr/include/c++/11/ext/new_allocator.h,127,_Znwm,%145,4096,3,rejected,0,no,"escapes-store;dynamic-size-excluded;no-sync-mutable;hotset-rejected:expansion-none",0,,-1
19,cxx-delete,prepare_xindex,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
20,cxx-new,prepare_xindex,/usr/include/c++/11/ext/new_allocator.h,127,_Znwm,%217,4096,3,rejected,0,no,"escapes-store;dynamic-size-excluded;no-sync-mutable;hotset-rejected:expansion-none",0,,-1
21,cxx-new,prepare_xindex,/home/shin/arbiter/benchmark/xindex/XIndex-H/ycsb_bench.cpp,361,_Znwm,32,32,6,rejected,0,no,"escapes-store;escapes-call;sync-mutation-same-file;hotset-rejected:expansion-none",0,,-1
22,cxx-delete,prepare_xindex,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
23,cxx-new,prepare_xindex,/usr/include/c++/11/ext/new_allocator.h,127,_Znwm,%343,4096,3,rejected,0,no,"escapes-store;dynamic-size-excluded;no-sync-mutable;hotset-rejected:expansion-none",0,,-1
24,cxx-delete,prepare_xindex,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
25,cxx-new-array,XIndex,/usr/include/c++/11/bits/unique_ptr.h,968,_ZnamSt11align_val_t,%78,4096,5,rejected,0,no,"escapes-store;sync-atomic-or-volatile-store-same-function;dynamic-size-excluded;hotset-rejected:expansion-none",0,,-1
26,cxx-new,XIndex,/home/shin/arbiter/benchmark/xindex/XIndex-H/xindex_impl.h,49,_Znwm,40,40,5,rejected,0,no,"escapes-store;sync-atomic-or-volatile-store-same-function;hotset-rejected:expansion-none",0,,-1
27,cxx-new,init,/usr/include/c++/11/ext/new_allocator.h,127,_Znwm,%10,4096,5,rejected,0,no,"escapes-store;sync-atomic-or-volatile-store-same-function;dynamic-size-excluded;hotset-rejected:expansion-none",0,,-1
28,cxx-delete,init,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
29,cxx-new-array,init,/usr/include/c++/11/bits/unique_ptr.h,968,_Znam,%73,4096,5,rejected,0,no,"escapes-store;sync-atomic-or-volatile-store-same-function;dynamic-size-excluded;hotset-rejected:expansion-none",0,,-1
30,cxx-delete-array,init,/usr/include/c++/11/bits/unique_ptr.h,120,_ZdaPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
31,cxx-new,init,/usr/include/c++/11/ext/new_allocator.h,127,_Znwm,%87,4096,4,rejected,0,no,"escapes-call;sync-atomic-or-volatile-store-same-function;dynamic-size-excluded;hotset-rejected:expansion-none",0,,-1
