phase,round,position,policy,benchmark,workload,config,repeat,mode,binary,target_node,cpu_node,mem_node,threads,iteration,config_sha256,time_sec,throughput,max_rss_kb,wall_time,swaps,log,time_log,status,heap_backend,allocation_node,arena_slab_bytes,arena_reserve_bytes,arena_slot_alignment,arena_allocations,arena_peak_live,arena_assigned_bytes,arena_fallbacks,duration_seconds,arena_resident_bytes,arena_majority_node,arena_query_error_pages,throughput_sample_seconds
main,01,1,native,xindex,a,native,1,native,/home/shin/arbiter/build/arbiter-bench/xindex-hotset-auto-k1-s13/ycsb_bench-native,2,0,0,31,3,a361633e9693172821a0aae2b79afe74ce80e893433caefc29355fa7f2eee529,900.065,1.26094e+07,12372656,15:14.06,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-01-native-native/logs/xindex_a_native_r1.log,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-01-native-native/logs/xindex_a_native_r1.time,ok,native,0,2097152,4294967296,64,,,,,900,,,,60
main,01,2,auto-k1,xindex,a,hotset-use-local,1,local,/home/shin/arbiter/build/arbiter-bench/xindex-hotset-auto-k1-s13/ycsb_bench-arbiter,2,0,0,31,3,a361633e9693172821a0aae2b79afe74ce80e893433caefc29355fa7f2eee529,900.051,1.32918e+07,12384424,15:11.65,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-02-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-02-auto-k1-local/logs/xindex_a_hotset-use-local_r1.time,ok,arena,0,2097152,4294967296,64,8356124,8356124,1071644672,0,900,1069584384,0,0,60
main,01,3,auto-k1,xindex,a,hotset-use-target,1,remote,/home/shin/arbiter/build/arbiter-bench/xindex-hotset-auto-k1-s13/ycsb_bench-arbiter,2,0,0,31,3,a361633e9693172821a0aae2b79afe74ce80e893433caefc29355fa7f2eee529,900.07,1.48937e+07,12685436,15:12.74,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-03-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-03-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.time,ok,arena,2,2097152,4294967296,64,8356159,8356159,1071644672,0,900,1069588480,2,0,60
main,02,1,auto-k1,xindex,a,hotset-use-local,1,local,/home/shin/arbiter/build/arbiter-bench/xindex-hotset-auto-k1-s13/ycsb_bench-arbiter,2,0,0,31,3,a361633e9693172821a0aae2b79afe74ce80e893433caefc29355fa7f2eee529,900.064,1.32104e+07,12577236,15:13.57,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-01-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-01-auto-k1-local/logs/xindex_a_hotset-use-local_r1.time,ok,arena,0,2097152,4294967296,64,8356159,8356159,1071644672,0,900,1069588480,0,0,60
main,02,2,auto-k1,xindex,a,hotset-use-target,1,remote,/home/shin/arbiter/build/arbiter-bench/xindex-hotset-auto-k1-s13/ycsb_bench-arbiter,2,0,0,31,3,a361633e9693172821a0aae2b79afe74ce80e893433caefc29355fa7f2eee529,900.069,1.45862e+07,12728824,15:12.75,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-02-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-02-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.time,ok,arena,2,2097152,4294967296,64,8356181,8356181,1071644672,0,900,1069592576,2,0,60
main,02,3,native,xindex,a,native,1,native,/home/shin/arbiter/build/arbiter-bench/xindex-hotset-auto-k1-s13/ycsb_bench-native,2,0,0,31,3,a361633e9693172821a0aae2b79afe74ce80e893433caefc29355fa7f2eee529,900.065,1.29572e+07,12398284,15:13.56,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-03-native-native/logs/xindex_a_native_r1.log,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-02/row-03-native-native/logs/xindex_a_native_r1.time,ok,native,0,2097152,4294967296,64,,,,,900,,,,60
main,03,1,auto-k1,xindex,a,hotset-use-target,1,remote,/home/shin/arbiter/build/arbiter-bench/xindex-hotset-auto-k1-s13/ycsb_bench-arbiter,2,0,0,31,3,a361633e9693172821a0aae2b79afe74ce80e893433caefc29355fa7f2eee529,900.064,1.51711e+07,12504044,15:12.76,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-03/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-03/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.time,ok,arena,2,2097152,4294967296,64,8356159,8356159,1071644672,0,900,1069588480,2,0,60
main,03,2,native,xindex,a,native,1,native,/home/shin/arbiter/build/arbiter-bench/xindex-hotset-auto-k1-s13/ycsb_bench-native,2,0,0,31,3,a361633e9693172821a0aae2b79afe74ce80e893433caefc29355fa7f2eee529,900.066,1.27653e+07,12416280,15:13.41,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-03/row-02-native-native/logs/xindex_a_native_r1.log,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-03/row-02-native-native/logs/xindex_a_native_r1.time,ok,native,0,2097152,4294967296,64,,,,,900,,,,60
main,03,3,auto-k1,xindex,a,hotset-use-local,1,local,/home/shin/arbiter/build/arbiter-bench/xindex-hotset-auto-k1-s13/ycsb_bench-arbiter,2,0,0,31,3,a361633e9693172821a0aae2b79afe74ce80e893433caefc29355fa7f2eee529,900.068,1.28151e+07,12637100,15:12.88,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-03/row-03-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-03/row-03-auto-k1-local/logs/xindex_a_hotset-use-local_r1.time,ok,arena,0,2097152,4294967296,64,8355903,8355903,1071644672,0,900,1069555712,0,0,60
main,04,1,native,xindex,a,native,1,native,/home/shin/arbiter/build/arbiter-bench/xindex-hotset-auto-k1-s13/ycsb_bench-native,2,0,0,31,3,a361633e9693172821a0aae2b79afe74ce80e893433caefc29355fa7f2eee529,900.067,1.28274e+07,12363816,15:13.50,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-04/row-01-native-native/logs/xindex_a_native_r1.log,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-04/row-01-native-native/logs/xindex_a_native_r1.time,ok,native,0,2097152,4294967296,64,,,,,900,,,,60
main,04,2,auto-k1,xindex,a,hotset-use-target,1,remote,/home/shin/arbiter/build/arbiter-bench/xindex-hotset-auto-k1-s13/ycsb_bench-arbiter,2,0,0,31,3,a361633e9693172821a0aae2b79afe74ce80e893433caefc29355fa7f2eee529,900.067,1.53061e+07,12643648,15:13.90,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-04/row-02-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-04/row-02-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.time,ok,arena,2,2097152,4294967296,64,8356159,8356159,1071644672,0,900,1069588480,2,0,60
main,04,3,auto-k1,xindex,a,hotset-use-local,1,local,/home/shin/arbiter/build/arbiter-bench/xindex-hotset-auto-k1-s13/ycsb_bench-arbiter,2,0,0,31,3,a361633e9693172821a0aae2b79afe74ce80e893433caefc29355fa7f2eee529,900.066,1.27811e+07,12653744,15:12.82,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-04/row-03-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-04/row-03-auto-k1-local/logs/xindex_a_hotset-use-local_r1.time,ok,arena,0,2097152,4294967296,64,8356159,8356159,1071644672,0,900,1069588480,0,0,60
main,05,1,auto-k1,xindex,a,hotset-use-target,1,remote,/home/shin/arbiter/build/arbiter-bench/xindex-hotset-auto-k1-s13/ycsb_bench-arbiter,2,0,0,31,3,a361633e9693172821a0aae2b79afe74ce80e893433caefc29355fa7f2eee529,900.065,1.34764e+07,12568532,15:13.18,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-05/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-05/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.time,ok,arena,2,2097152,4294967296,64,8356159,8356159,1071644672,0,900,1069588480,2,0,60
