benchmark,workload,config,repeat,mode,elapsed_sec,interval_sec,interval_ops,interval_ops_per_sec,cumulative_ops,cumulative_ops_per_sec,final,log
xindex,a,hotset-use-target,1,remote,60.0006,60.0006,1105593611,1.84264e+07,1105593611,1.84264e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,120.001,60.0009,804596992,1.34097e+07,1910190603,1.59181e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,180.001,59.9994,803952475,1.33993e+07,2714143078,1.50785e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,240.002,60.0015,803815589,1.33966e+07,3517958667,1.4658e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,300.002,60.0001,803203316,1.33867e+07,4321161983,1.44038e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,360.001,59.9987,803694831,1.33952e+07,5124856814,1.42357e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,420.002,60.0013,803631525,1.33936e+07,5928488339,1.41154e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,480.001,59.9985,804017829,1.34006e+07,6732506168,1.4026e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,540.001,60,803338496,1.3389e+07,7535844664,1.39552e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,600.001,60.0001,803916111,1.33986e+07,8339760775,1.38996e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,660.001,59.9995,803901861,1.33985e+07,9143662636,1.3854e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,720.001,60.0005,803670346,1.33944e+07,9947332982,1.38157e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,780.001,59.9999,803688960,1.33948e+07,10751021942,1.37833e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,840.003,60.0021,804781721,1.34126e+07,11555803663,1.37569e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,900.001,59.9984,803366912,1.33898e+07,12359170575,1.37324e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,960.002,60.0009,802976421,1.33827e+07,13162146996,1.37105e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,1020,59.9989,804124746,1.34023e+07,13966271742,1.36924e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
xindex,a,hotset-use-target,1,remote,1080,59.9994,804278516,1.34048e+07,14770550258,1.36764e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/soak/round-after-06/row-01-auto-k1-cxl/logs/xindex_a_hotset-use-target_r1.log
