phase,round,position,policy,benchmark,workload,config,repeat,mode,elapsed_sec,interval_sec,interval_ops,interval_ops_per_sec,cumulative_ops,cumulative_ops_per_sec,final,log
main,01,1,native,xindex,a,native,1,native,60.0015,60.0015,1023757886,1.70622e+07,1023757886,1.70622e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-01-native-native/logs/xindex_a_native_r1.log
main,01,1,native,xindex,a,native,1,native,120.001,59.9993,737516988,1.22921e+07,1761274874,1.46772e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-01-native-native/logs/xindex_a_native_r1.log
main,01,1,native,xindex,a,native,1,native,180.001,60.0001,736706093,1.22784e+07,2497980967,1.38776e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-01-native-native/logs/xindex_a_native_r1.log
main,01,1,native,xindex,a,native,1,native,240.001,60.0002,737328879,1.22888e+07,3235309846,1.34804e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-01-native-native/logs/xindex_a_native_r1.log
main,01,1,native,xindex,a,native,1,native,300.001,59.9999,737984461,1.22998e+07,3973294307,1.32443e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-01-native-native/logs/xindex_a_native_r1.log
main,01,1,native,xindex,a,native,1,native,360.001,59.9999,737743496,1.22957e+07,4711037803,1.30862e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-01-native-native/logs/xindex_a_native_r1.log
main,01,1,native,xindex,a,native,1,native,420.001,60.0004,737651018,1.22941e+07,5448688821,1.2973e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-01-native-native/logs/xindex_a_native_r1.log
main,01,1,native,xindex,a,native,1,native,480.001,59.9996,737752877,1.2296e+07,6186441698,1.28884e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-01-native-native/logs/xindex_a_native_r1.log
main,01,1,native,xindex,a,native,1,native,540.001,60.0002,737720946,1.22953e+07,6924162644,1.28225e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-01-native-native/logs/xindex_a_native_r1.log
main,01,1,native,xindex,a,native,1,native,600.001,60,737682312,1.22947e+07,7661844956,1.27697e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-01-native-native/logs/xindex_a_native_r1.log
main,01,1,native,xindex,a,native,1,native,660.001,60.0002,737230467,1.22871e+07,8399075423,1.27258e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-01-native-native/logs/xindex_a_native_r1.log
main,01,1,native,xindex,a,native,1,native,720.001,59.9996,738076308,1.23014e+07,9137151731,1.26905e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-01-native-native/logs/xindex_a_native_r1.log
main,01,1,native,xindex,a,native,1,native,780.001,60.0001,737512237,1.22919e+07,9874663968,1.26598e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-01-native-native/logs/xindex_a_native_r1.log
main,01,1,native,xindex,a,native,1,native,840.001,60,737064067,1.22844e+07,10611728035,1.2633e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-01-native-native/logs/xindex_a_native_r1.log
main,01,1,native,xindex,a,native,1,native,900.065,60.0639,737570184,1.22798e+07,11349298219,1.26094e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-01-native-native/logs/xindex_a_native_r1.log
main,01,2,auto-k1,xindex,a,hotset-use-local,1,local,60.0012,60.0012,1041765279,1.73624e+07,1041765279,1.73624e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-02-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
main,01,2,auto-k1,xindex,a,hotset-use-local,1,local,120.001,59.9999,780434062,1.30073e+07,1822199341,1.51849e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-02-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
main,01,2,auto-k1,xindex,a,hotset-use-local,1,local,180.001,60,779841149,1.29974e+07,2602040490,1.44557e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-02-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
main,01,2,auto-k1,xindex,a,hotset-use-local,1,local,240.001,60.0001,779703512,1.2995e+07,3381744002,1.40905e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-02-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
main,01,2,auto-k1,xindex,a,hotset-use-local,1,local,300.001,60.0001,780419982,1.3007e+07,4162163984,1.38738e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-02-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
main,01,2,auto-k1,xindex,a,hotset-use-local,1,local,360.001,59.9999,780948167,1.30158e+07,4943112151,1.37308e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-02-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
main,01,2,auto-k1,xindex,a,hotset-use-local,1,local,420.001,59.9998,779998936,1.3e+07,5723111087,1.36264e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-02-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
main,01,2,auto-k1,xindex,a,hotset-use-local,1,local,480.001,60,779413208,1.29902e+07,6502524295,1.35469e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-02-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
main,01,2,auto-k1,xindex,a,hotset-use-local,1,local,540.001,60,780268066,1.30045e+07,7282792361,1.34866e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-02-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
main,01,2,auto-k1,xindex,a,hotset-use-local,1,local,600.001,60.0001,780351704,1.30058e+07,8063144065,1.34385e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-02-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
main,01,2,auto-k1,xindex,a,hotset-use-local,1,local,660.001,59.9997,779454862,1.2991e+07,8842598927,1.33979e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-auto-overnight-20260814-012754/main/round-01/row-02-auto-k1-local/logs/xindex_a_hotset-use-local_r1.log
