raw_id,design,status,static_fingerprint,selected_site_count,config_path,build_dir,build_log
raw-001,auto-k1-fixed,selected,97,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-001.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-001,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-001.log
raw-002,auto-k2-fixed,selected,97+99,2,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-002.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-002,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-002.log
raw-003,auto-k3-fixed,selected,68+97+99,3,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-003.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-003,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-003.log
raw-004,auto-k6-fixed,selected,68+90+97+98+99+100,6,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-004.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-004,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-004.log
raw-005,broad-default,selected,68+69+72+97+98+99+100,7,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-005.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-005,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-005.log
raw-006,broad-top8,selected,68+69+72+90+97+98+99+100,8,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-006.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-006,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-006.log
raw-007,broad-top12-noexp,selected,68+69+72+75+81+82+90+91+97+98+99+100,12,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-007.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-007,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-007.log
raw-008,permissive-deep,selected,68+69+71+72+74+75+81+82+90+91+92+94+97+98+99+100,16,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-008.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-008,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-008.log
raw-009,strict-fixed,selected,68+69+90+97+98+99+100,7,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-009.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-009,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-009.log
raw-010,dynamic-small-estimate,selected,68+69+71+72+90+91+97+98+99+100,10,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-010.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-010,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-010.log
raw-011,high-affinity,duplicate-static:raw-006,68+69+72+90+97+98+99+100,8,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-011.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-011,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-011.log
raw-012,deep-expansion,selected,68+69+71+72+74+75+90+91+97+98+99+100,12,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-012.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-012,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-012.log
raw-013,random-flat,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-013,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-013.log
raw-014,random-default,duplicate-static:raw-006,68+69+72+90+97+98+99+100,8,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-014.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-014,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-014.log
raw-015,random-hybrid,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-015,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-015.log
raw-016,random-worker-heavy,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-016,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-016.log
raw-017,random-size-heavy,selected,71+72+74+75+81+82,6,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-017.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-017,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-017.log
raw-018,random-escape-heavy,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-018,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-018.log
