phase,candidate,replicate,position,requested_mode,actual_mode,status,throughput,max_rss_kb,swaps,arena_allocations,arena_peak_live,arena_assigned_bytes,arena_fallbacks,arena_resident_bytes,arena_majority_node,arena_query_error_pages,runtime_fingerprint,static_fingerprint,time_sec,wall_time,driver_exit,duration_seconds,sample_seconds,result_dir
native-start,native,1,1,native,,row-accounting-,,,,,,,,,,,none,native,,,0,60,10,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/001-native-start-native-r01-native
screen,raw-001,1,2,local,,row-accounting-,,,,,,,,,,,none,97,,,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/002-screen-raw-001-r01-local
screen,raw-001,1,3,cxl,,row-accounting-,,,,,,,,,,,none,97,,,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/003-screen-raw-001-r01-cxl
screen,raw-002,1,4,cxl,,row-accounting-,,,,,,,,,,,none,97+99,,,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/004-screen-raw-002-r01-cxl
screen,raw-002,1,5,local,,row-accounting-,,,,,,,,,,,none,97+99,,,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/005-screen-raw-002-r01-local
screen,raw-003,1,6,local,,row-accounting-,,,,,,,,,,,none,68+97+99,,,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/006-screen-raw-003-r01-local
screen,raw-003,1,7,cxl,,row-accounting-,,,,,,,,,,,none,68+97+99,,,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/007-screen-raw-003-r01-cxl
screen,raw-004,1,8,cxl,,row-accounting-,,,,,,,,,,,none,68+90+97+98+99+100,,,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/008-screen-raw-004-r01-cxl
screen,raw-004,1,9,local,,row-accounting-,,,,,,,,,,,none,68+90+97+98+99+100,,,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/009-screen-raw-004-r01-local
screen,raw-005,1,10,local,,row-accounting-,,,,,,,,,,,none,68+69+72+97+98+99+100,,,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/010-screen-raw-005-r01-local
