candidate,safe,reason,local_status,cxl_status,local_ops,cxl_ops,cxl_over_local_pct,runtime_fingerprint,static_fingerprint,local_max_rss_kb,cxl_max_rss_kb,cxl_resident_bytes,cxl_resident_over_rss_pct,local_allocations,cxl_allocations
raw-001,0,row-status,row-accounting-,row-accounting-,0,0,0,none,97,0,0,0,0,,
raw-002,0,row-status,row-accounting-,row-accounting-,0,0,0,none,97+99,0,0,0,0,,
raw-003,0,row-status,row-accounting-,row-accounting-,0,0,0,none,68+97+99,0,0,0,0,,
raw-004,0,row-status,row-accounting-,row-accounting-,0,0,0,none,68+90+97+98+99+100,0,0,0,0,,
raw-005,0,row-status,row-accounting-,row-accounting-,0,0,0,none,68+69+72+97+98+99+100,0,0,0,0,,
raw-006,0,row-status,row-accounting-,row-accounting-,0,0,0,none,68+69+72+90+97+98+99+100,0,0,0,0,,
raw-007,0,row-status,row-accounting-,row-accounting-,0,0,0,none,68+69+72+75+81+82+90+91+97+98+99+100,0,0,0,0,,
raw-008,0,row-status,row-accounting-,row-accounting-,0,0,0,none,68+69+71+72+74+75+81+82+90+91+92+94+97+98+99+100,0,0,0,0,,
raw-009,0,row-status,row-accounting-,row-accounting-,0,0,0,none,68+69+90+97+98+99+100,0,0,0,0,,
raw-010,0,row-status,row-accounting-,row-accounting-,0,0,0,none,68+69+71+72+90+91+97+98+99+100,0,0,0,0,,
raw-012,0,row-status,row-accounting-,row-accounting-,0,0,0,none,68+69+71+72+74+75+90+91+97+98+99+100,0,0,0,0,,
raw-017,0,row-status,row-accounting-,row-accounting-,0,0,0,none,71+72+74+75+81+82,0,0,0,0,,
raw-020,0,row-status,row-accounting-,row-accounting-,0,0,0,none,72+75,0,0,0,0,,
raw-025,0,row-status,row-accounting-,row-accounting-,0,0,0,none,21+68+69+72+75+90+91+92+97+98+99+100,0,0,0,0,,
raw-028,0,row-status,row-accounting-,row-accounting-,0,0,0,none,97+98+99+100,0,0,0,0,,
raw-030,0,row-status,row-accounting-,row-accounting-,0,0,0,none,72+90+97+98+99+100,0,0,0,0,,
raw-031,0,row-status,row-accounting-,row-accounting-,0,0,0,none,68+72+75+90+97+98+99+100,0,0,0,0,,
raw-033,0,row-status,row-accounting-,row-accounting-,0,0,0,none,68+90+97+99,0,0,0,0,,
raw-038,0,row-status,row-accounting-,row-accounting-,0,0,0,none,72+75+81+82+91+92,0,0,0,0,,
raw-039,0,row-status,row-accounting-,row-accounting-,0,0,0,none,97+98,0,0,0,0,,
raw-042,0,row-status,row-accounting-,row-accounting-,0,0,0,none,71+97+98+99+100,0,0,0,0,,
raw-053,0,row-status,row-accounting-,row-accounting-,0,0,0,none,2+21+25+27+29+31+32+33+68+69+71+72+74+75+81+82+90+91+92+94+97+98+99+100,0,0,0,0,,
raw-055,0,row-status,row-accounting-,row-accounting-,0,0,0,none,68+69+71+90+97+98+99+100,0,0,0,0,,
raw-057,0,row-status,row-accounting-,row-accounting-,0,0,0,none,68+69+72+75+90+97+98+99+100,0,0,0,0,,
raw-059,0,row-status,row-accounting-,row-accounting-,0,0,0,none,72+75+97+98+99+100,0,0,0,0,,
raw-063,0,row-status,row-accounting-,row-accounting-,0,0,0,none,68+69+71+72+75+90+97+98+99+100,0,0,0,0,,
raw-064,0,row-status,row-accounting-,row-accounting-,0,0,0,none,90+97+99,0,0,0,0,,
raw-065,0,row-status,row-accounting-,row-accounting-,0,0,0,none,71+72,0,0,0,0,,
raw-066,0,row-status,row-accounting-,row-accounting-,0,0,0,none,68+69+71+72+97+98+99+100,0,0,0,0,,
