candidate,raw_id,design,static_fingerprint,selected_site_count,config_path,build_dir
raw-001,raw-001,auto-k1-fixed,97,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-001.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-001
raw-002,raw-002,auto-k2-fixed,97+99,2,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-002.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-002
raw-003,raw-003,auto-k3-fixed,68+97+99,3,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-003.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-003
raw-004,raw-004,auto-k6-fixed,68+90+97+98+99+100,6,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-004.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-004
raw-005,raw-005,broad-default,68+69+72+97+98+99+100,7,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-005.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-005
raw-006,raw-006,broad-top8,68+69+72+90+97+98+99+100,8,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-006.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-006
raw-007,raw-007,broad-top12-noexp,68+69+72+75+81+82+90+91+97+98+99+100,12,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-007.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-007
raw-008,raw-008,permissive-deep,68+69+71+72+74+75+81+82+90+91+92+94+97+98+99+100,16,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-008.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-008
raw-009,raw-009,strict-fixed,68+69+90+97+98+99+100,7,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-009.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-009
raw-010,raw-010,dynamic-small-estimate,68+69+71+72+90+91+97+98+99+100,10,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-010.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-010
raw-012,raw-012,deep-expansion,68+69+71+72+74+75+90+91+97+98+99+100,12,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-012.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-012
raw-017,raw-017,random-size-heavy,71+72+74+75+81+82,6,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-017.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-017
raw-020,raw-020,random-size-heavy,72+75,2,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-020.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-020
raw-025,raw-025,random-escape-heavy,21+68+69+72+75+90+91+92+97+98+99+100,12,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-025.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-025
raw-028,raw-028,random-flat,97+98+99+100,4,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-028.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-028
raw-030,raw-030,random-worker-heavy,72+90+97+98+99+100,6,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-030.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-030
raw-031,raw-031,random-size-heavy,68+72+75+90+97+98+99+100,8,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-031.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-031
raw-033,raw-033,random-size-heavy,68+90+97+99,4,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-033.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-033
raw-038,raw-038,random-size-heavy,72+75+81+82+91+92,6,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-038.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-038
raw-039,raw-039,random-worker-heavy,97+98,2,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-039.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-039
raw-042,raw-042,random-hybrid,71+97+98+99+100,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-042.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-042
raw-053,raw-053,random-flat,2+21+25+27+29+31+32+33+68+69+71+72+74+75+81+82+90+91+92+94+97+98+99+100,24,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-053.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-053
raw-055,raw-055,random-flat,68+69+71+90+97+98+99+100,8,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-055.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-055
raw-057,raw-057,random-default,68+69+72+75+90+97+98+99+100,9,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-057.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-057
raw-059,raw-059,random-flat,72+75+97+98+99+100,6,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-059.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-059
raw-063,raw-063,random-size-heavy,68+69+71+72+75+90+97+98+99+100,10,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-063.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-063
raw-064,raw-064,random-escape-heavy,90+97+99,3,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-064.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-064
raw-065,raw-065,random-size-heavy,71+72,2,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-065.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-065
raw-066,raw-066,random-sync-heavy,68+69+71+72+97+98+99+100,8,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-066.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-066
