phase,candidate,replicate,position,requested_mode,benchmark,workload,config,repeat,actual_mode,elapsed_sec,interval_sec,interval_ops,interval_ops_per_sec,cumulative_ops,cumulative_ops_per_sec,final,log
native-start,native,1,1,native,xindex,a,native,1,native,10.0027,10.0027,283963904,2.83889e+07,283963904,2.83889e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/001-native-start-native-r01-native/logs/xindex_a_native_r1.log
native-start,native,1,1,native,xindex,a,native,1,native,20.0011,9.99849,282326471,2.82369e+07,566290375,2.83129e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/001-native-start-native-r01-native/logs/xindex_a_native_r1.log
native-start,native,1,1,native,xindex,a,native,1,native,30.0003,9.99921,282770688,2.82793e+07,849061063,2.83017e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/001-native-start-native-r01-native/logs/xindex_a_native_r1.log
native-start,native,1,1,native,xindex,a,native,1,native,40.0004,10.0001,282672953,2.8267e+07,1131734016,2.8293e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/001-native-start-native-r01-native/logs/xindex_a_native_r1.log
native-start,native,1,1,native,xindex,a,native,1,native,50.0024,10.002,282438855,2.82383e+07,1414172871,2.82821e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/001-native-start-native-r01-native/logs/xindex_a_native_r1.log
native-start,native,1,1,native,xindex,a,native,1,native,60.0021,9.99966,282962176,2.82972e+07,1697135047,2.82846e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/001-native-start-native-r01-native/logs/xindex_a_native_r1.log
screen,raw-001,1,2,local,xindex,a,hotset-use-local,1,local,5.00047,5.00047,139366400,2.78707e+07,139366400,2.78707e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/002-screen-raw-001-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-001,1,2,local,xindex,a,hotset-use-local,1,local,10.0005,5,138730752,2.77462e+07,278097152,2.78084e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/002-screen-raw-001-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-001,1,2,local,xindex,a,hotset-use-local,1,local,15.0037,5.0032,138912711,2.77648e+07,417009863,2.77939e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/002-screen-raw-001-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-001,1,3,cxl,xindex,a,hotset-use-target,1,remote,5.00057,5.00057,136230400,2.7243e+07,136230400,2.7243e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/003-screen-raw-001-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
