phase,candidate,replicate,position,requested_mode,actual_mode,status,throughput,max_rss_kb,swaps,arena_allocations,arena_peak_live,arena_assigned_bytes,arena_fallbacks,arena_resident_bytes,arena_majority_node,arena_query_error_pages,runtime_fingerprint,static_fingerprint,time_sec,wall_time,driver_exit,duration_seconds,sample_seconds,result_dir
native-start,native,1,1,native,native,ok,2.67045e+07,32641200,0,,,,,,,,native,native,60.0031,2:30.34,0,60,10,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/001-native-start-native-r01-native
screen,raw-001,1,2,local,local,arena-report-missing,2.8479e+07,32641828,0,,,,,,,,none,97,15.002,1:13.58,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/002-screen-raw-001-r01-local
screen,raw-001,1,3,cxl,remote,arena-report-missing,2.69461e+07,32641832,0,,,,,,,,none,97,15.0034,1:13.62,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/003-screen-raw-001-r01-cxl
screen,raw-002,1,4,cxl,remote,arena-report-missing,2.67515e+07,32641816,0,,,,,,,,none,97+99,15.0055,1:13.56,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/004-screen-raw-002-r01-cxl
screen,raw-002,1,5,local,local,arena-report-missing,2.89727e+07,32641788,0,,,,,,,,none,97+99,15.0039,1:12.07,1,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/005-screen-raw-002-r01-local
screen,raw-003,1,6,local,local,ok,2.7413e+07,33440320,0,26395417,26395417,3380609024,0,3378614272,0,0,68,68+97+99,15.0015,1:16.81,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/006-screen-raw-003-r01-local
screen,raw-003,1,7,cxl,remote,ok,4.35071e+07,33440300,0,26395417,26395417,3380609024,0,3378614272,2,0,68,68+97+99,15.0031,1:17.53,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/007-screen-raw-003-r01-cxl
screen,raw-004,1,8,cxl,remote,ok,4.33192e+07,33440340,0,26395417,26395417,3380609024,0,3378614272,2,0,68,68+90+97+98+99+100,15.0061,1:17.76,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/008-screen-raw-004-r01-cxl
screen,raw-004,1,9,local,local,ok,2.87178e+07,33440268,0,26395417,26395417,3380609024,0,3378614272,0,0,68,68+90+97+98+99+100,15.0041,1:16.93,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/009-screen-raw-004-r01-local
screen,raw-009,1,10,local,local,ok,2.80825e+07,34880068,0,52790834,52790758,5070913536,0,5067919360,0,0,68+69,68+69+90+97+98+99+100,15.0033,1:19.24,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/010-screen-raw-009-r01-local
screen,raw-009,1,11,cxl,remote,ok,4.08092e+07,34880064,0,52790834,52790758,5070913536,0,5067919360,2,0,68+69,68+69+90+97+98+99+100,15.004,1:20.79,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/011-screen-raw-009-r01-cxl
screen,raw-013,1,12,cxl,remote,ok,5.74919e+07,33102796,0,79186456,79186380,20279459840,0,20275511296,2,0,68+69+71,68+69+71+90+97+98+99+100,15.0041,1:27.44,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/012-screen-raw-013-r01-cxl
screen,raw-013,1,13,local,local,ok,2.84733e+07,33102760,0,79186456,79186380,20279459840,0,20275511296,0,0,68+69+71,68+69+71+90+97+98+99+100,15.0041,1:20.25,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/013-screen-raw-013-r01-local
screen,raw-014,1,14,local,local,ok,2.69439e+07,30864904,0,26395622,26395622,15208546304,0,15207591936,0,0,71,71+97+98+99+100,15.0031,1:15.43,0,15,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/014-screen-raw-014-r01-local
