candidate,safe,reason,local_status,cxl_status,local_ops,cxl_ops,cxl_over_local_pct,runtime_fingerprint,static_fingerprint,local_max_rss_kb,cxl_max_rss_kb,cxl_resident_bytes,cxl_resident_over_rss_pct,local_allocations,cxl_allocations
raw-001,0,no-arena-activity,arena-report-missing,arena-report-missing,28479000,26946100,-5.38256,none,97,32641828,32641832,0,0,,
raw-002,0,no-arena-activity,arena-report-missing,arena-report-missing,28972700,26751500,-7.66653,none,97+99,32641788,32641816,0,0,,
raw-003,1,ok,ok,ok,27413000,43507100,58.7097,68,68+97+99,33440320,33440300,3378614272,9.86662,26395417,26395417
raw-004,1,ok,ok,ok,28717800,43319200,50.8444,68,68+90+97+98+99+100,33440268,33440340,3378614272,9.86661,26395417,26395417
raw-009,1,ok,ok,ok,28082500,40809200,45.319,68+69,68+69+90+97+98+99+100,34880068,34880064,5067919360,14.189,52790834,52790834
raw-013,1,ok,ok,ok,28473300,57491900,101.915,68+69+71,68+69+71+90+97+98+99+100,33102760,33102796,20275511296,59.8146,79186456,79186456
raw-014,1,ok,ok,ok,26943900,48006400,78.1717,71,71+97+98+99+100,30864904,30864968,15207591936,48.1166,26395622,26395622
raw-021,1,ok,ok,ok,28135800,57264600,103.529,68+69+71+74,68+69+71+74+90+97+98+99+100,33102840,33102824,20275597312,59.8148,79186599,79186599
raw-030,1,ok,ok,ok,27246700,42534600,56.1092,21+68+69,21+68+69+90+97+98+99+100,34880080,34880124,5067923456,14.189,52790835,52790835
raw-035,0,no-arena-activity,arena-report-missing,arena-report-missing,26030000,28174000,8.23665,none,90+97+99,32641804,32641804,0,0,,
raw-036,1,ok,ok,ok,28480800,39940300,40.2359,68,68+90+97+99,33439756,33440324,3378614272,9.86661,26395417,26395417
raw-039,1,ok,ok,ok,28517900,56244400,97.2249,68+71+74,68+71+74+90+97+99,31662816,31662772,18586292224,57.325,52791182,52791182
raw-043,1,ok,ok,ok,29030100,57809100,99.135,21+37+68+69+71+74,21+37+54+68+69+71+74+90+97+98+99+100,33102792,33102880,20275609600,59.8147,79186700,79186700
raw-046,1,ok,ok,ok,28061300,55424700,97.5129,68+71+74,68+71+74+90+97+98+99+100,31662744,31662848,18586292224,57.3248,52791182,52791182
raw-047,1,ok,ok,ok,28601400,41426500,44.8408,68+69,68+69+97+98+99+100,34880092,34880068,5067919360,14.189,52790834,52790834
raw-063,0,no-arena-activity,arena-report-missing,arena-report-missing,28142700,27312900,-2.94854,none,90+97,32641820,32641828,0,0,,
raw-081,1,ok,ok,ok,27901700,42700500,53.0391,71+74,71+74,30864960,30864904,15207677952,48.1169,26395765,26395765
raw-082,1,ok,ok,ok,28927100,45843700,58.4801,71,71,30864976,30864916,15207591936,48.1167,26395622,26395622
