candidate,raw_id,design,static_fingerprint,selected_site_count,config_path,build_dir
raw-001,raw-001,auto-k1-fixed,97,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-001.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-001
raw-002,raw-002,auto-k2-fixed,97+99,2,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-002.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-002
raw-003,raw-003,auto-k3-fixed,68+97+99,3,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-003.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-003
raw-004,raw-004,auto-k6-fixed,68+90+97+98+99+100,6,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-004.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-004
raw-009,raw-009,strict-fixed,68+69+90+97+98+99+100,7,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-009.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-009
raw-013,raw-013,flat-fixed-aggressive,68+69+71+90+97+98+99+100,8,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-013.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-013
raw-014,raw-014,hybrid-fixed-expansion,71+97+98+99+100,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-014.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-014
raw-021,raw-021,random-default,68+69+71+74+90+97+98+99+100,9,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-021.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-021
raw-030,raw-030,random-escape-heavy,21+68+69+90+97+98+99+100,8,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-030.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-030
raw-035,raw-035,random-worker-heavy,90+97+99,3,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-035.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-035
raw-036,raw-036,random-escape-heavy,68+90+97+99,4,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-036.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-036
raw-039,raw-039,random-size-heavy,68+71+74+90+97+99,6,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-039.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-039
raw-043,raw-043,random-size-heavy,21+37+54+68+69+71+74+90+97+98+99+100,12,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-043.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-043
raw-046,raw-046,random-size-heavy,68+71+74+90+97+98+99+100,8,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-046.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-046
raw-047,raw-047,random-sync-heavy,68+69+97+98+99+100,6,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-047.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-047
raw-063,raw-063,random-escape-heavy,90+97,2,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-063.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-063
raw-081,raw-081,random-size-heavy,71+74,2,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-081.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-081
raw-082,raw-082,random-size-heavy,71,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-082.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-082
