phase,candidate,replicate,position,requested_mode,benchmark,workload,config,repeat,actual_mode,elapsed_sec,interval_sec,interval_ops,interval_ops_per_sec,cumulative_ops,cumulative_ops_per_sec,final,log
native-start,native,1,1,native,xindex,a,native,1,native,10.0006,10.0006,265995520,2.6598e+07,265995520,2.6598e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/001-native-start-native-r01-native/logs/xindex_a_native_r1.log
native-start,native,1,1,native,xindex,a,native,1,native,20.0006,10,267243975,2.67244e+07,533239495,2.66612e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/001-native-start-native-r01-native/logs/xindex_a_native_r1.log
native-start,native,1,1,native,xindex,a,native,1,native,30.0006,10,267959270,2.67959e+07,801198765,2.67061e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/001-native-start-native-r01-native/logs/xindex_a_native_r1.log
native-start,native,1,1,native,xindex,a,native,1,native,40.0006,10,267327002,2.67327e+07,1068525767,2.67128e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/001-native-start-native-r01-native/logs/xindex_a_native_r1.log
native-start,native,1,1,native,xindex,a,native,1,native,50.0033,10.0027,266326016,2.66253e+07,1334851783,2.66953e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/001-native-start-native-r01-native/logs/xindex_a_native_r1.log
native-start,native,1,1,native,xindex,a,native,1,native,60.0031,9.99983,267499380,2.67504e+07,1602351163,2.67045e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/001-native-start-native-r01-native/logs/xindex_a_native_r1.log
screen,raw-001,1,2,local,xindex,a,hotset-use-local,1,local,5.00139,5.00139,141966848,2.83855e+07,141966848,2.83855e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/002-screen-raw-001-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-001,1,2,local,xindex,a,hotset-use-local,1,local,10.0004,4.99897,142778624,2.85616e+07,284745472,2.84735e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/002-screen-raw-001-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-001,1,2,local,xindex,a,hotset-use-local,1,local,15.002,5.0016,142495886,2.84901e+07,427241358,2.8479e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/002-screen-raw-001-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-001,1,3,cxl,xindex,a,hotset-use-target,1,remote,5.0031,5.0031,135043328,2.6992e+07,135043328,2.6992e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/003-screen-raw-001-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
